model;difficulty_score;difficulty_score_article;difficulty_score_article_capped_100
model_10000193;37,999743;17,948980;17,948980
model_10000194;19,941099;11,938776;11,938776
model_10000195;39,358800;23,326531;23,326531
model_10000196;40,679039;10,193878;10,193878
model_10000197;34,875232;10,122449;10,122449
model_10000198;44,033468;18,397959;18,397959
model_10000199;40,679039;10,193878;10,193878
model_100002;42,195280;49,846939;49,846939
model_10000200;40,679039;10,193878;10,193878
model_10000201;40,679039;10,193878;10,193878
model_10000202;25,087291;7,112245;7,112245
model_10000203;26,476859;18,112245;18,112245
model_10000204;31,076585;14,897959;14,897959
model_10000205;15,687275;2,377551;2,377551
model_10000206;15,687275;2,377551;2,377551
model_10000207;15,687275;2,377551;2,377551
model_10000208;18,578480;3,214286;3,214286
model_10000209;37,461534;12,826531;12,826531
model_10000210;16,258161;2,734694;2,734694
model_10000211;28,361118;19,051020;19,051020
model_10000212;32,598454;19,663265;19,663265
model_10000213;45,096383;12,571429;12,571429
model_10000214;26,716179;21,193878;21,193878
model_10000215;27,873028;11,744898;11,744898
model_10000216;16,152387;4,591837;4,591837
model_10000217;22,136163;11,428571;11,428571
model_10000218;26,662983;6,071429;6,071429
model_10000219;34,966809;7,510204;7,510204
model_10000220;34,875232;10,122449;10,122449
model_10000221;28,361118;19,051020;19,051020
model_10000222;40,679039;10,193878;10,193878
model_10000223;25,087291;7,112245;7,112245
model_10000224;37,999743;17,948980;17,948980
model_10000225;45,096383;12,571429;12,571429
model_10000226;41,665305;15,561224;15,561224
model_10000227;12,444160;9,551020;9,551020
model_10000228;45,096383;12,571429;12,571429
model_10000229;40,467396;9,959184;9,959184
model_10000230;13,857714;2,377551;2,377551
model_10000231;15,687275;2,377551;2,377551
model_10000232;34,875232;10,122449;10,122449
model_10000233;22,136163;11,428571;11,428571
model_10000234;39,358800;23,326531;23,326531
model_10000235;15,687275;2,377551;2,377551
model_10000236;34,213031;11,581633;11,581633
model_10000237;26,476859;18,112245;18,112245
model_10000238;47,324617;20,244898;20,244898
model_10000239;26,716179;21,193878;21,193878
model_10000240;40,679039;10,193878;10,193878
model_10000241;16,152387;4,591837;4,591837
model_10000242;28,361118;19,051020;19,051020
model_10000243;21,202475;4,540816;4,540816
model_10000244;22,136163;11,428571;11,428571
model_10000245;15,687275;2,377551;2,377551
model_10000246;34,966809;7,510204;7,510204
model_10000247;27,873028;11,744898;11,744898
model_10000248;32,127577;12,173469;12,173469
model_10000249;19,297227;14,591837;14,591837
model_10000250;29,470509;11,051020;11,051020
model_10000251;31,076585;14,897959;14,897959
model_10000252;34,925200;9,183673;9,183673
model_10000253;27,873028;11,744898;11,744898
model_10000254;11,669158;2,612245;2,612245
model_10000255;27,873028;11,744898;11,744898
model_10000256;32,108707;16,530612;16,530612
model_10000257;29,886638;23,020408;23,020408
model_10000258;15,687275;2,377551;2,377551
model_10000259;37,844251;13,295918;13,295918
model_10000260;26,271550;8,959184;8,959184
model_10000261;21,202475;4,540816;4,540816
model_10000262;15,687275;2,377551;2,377551
model_10000263;34,875232;10,122449;10,122449
model_10000264;28,361118;19,051020;19,051020
model_10000265;16,152387;4,591837;4,591837
model_10000266;39,856122;11,224490;11,224490
model_10000267;43,169356;18,336735;18,336735
model_10000268;37,999743;17,948980;17,948980
model_10000269;53,156856;24,346939;24,346939
model_10000270;27,873028;11,744898;11,744898
model_10000271;32,127577;12,173469;12,173469
model_10000272;20,922163;26,224490;26,224490
model_10000273;27,020557;16,377551;16,377551
model_10000274;15,687275;2,377551;2,377551
model_10000275;27,181426;56,040816;56,040816
model_10000276;43,913635;18,163265;18,163265
model_10000277;28,361118;19,051020;19,051020
model_10000278;17,857726;15,938776;15,938776
model_10000279;35,395369;14,244898;14,244898
model_10000280;46,165610;16,265306;16,265306
model_10000281;27,873028;11,744898;11,744898
model_10000282;25,795090;10,081633;10,081633
model_10000283;18,578480;3,214286;3,214286
model_10000284;26,918392;8,408163;8,408163
model_10000285;31,341206;15,367347;15,367347
model_10000286;34,809549;13,244898;13,244898
model_10000287;15,687275;2,377551;2,377551
model_10000288;45,096383;12,571429;12,571429
model_10000289;26,476859;18,112245;18,112245
model_10000290;35,889619;25,183673;25,183673
model_10000291;40,679039;10,193878;10,193878
model_10000292;37,724879;13,081633;13,081633
model_10000293;27,873028;11,744898;11,744898
model_10000294;27,873028;11,744898;11,744898
model_10000295;22,036334;12,295918;12,295918
model_10000296;29,886638;23,020408;23,020408
model_10000297;22,136163;11,428571;11,428571
model_10000298;32,947047;11,397959;11,397959
model_10000299;22,136163;11,428571;11,428571
model_100003;12,303638;3,183673;3,183673
model_10000300;23,987856;14,132653;14,132653
model_10000301;21,202475;4,540816;4,540816
model_10000302;27,873028;11,744898;11,744898
model_10000303;16,152387;4,591837;4,591837
model_10000304;22,136163;11,428571;11,428571
