model;difficulty_score;difficulty_score_article;difficulty_score_article_capped_100
model_2086;45,056672;19,989796;19,989796
model_2087;18,879103;2,581633;2,581633
model_2088;14,112293;3,755102;3,755102
model_2089;32,777593;6,744898;6,744898
model_209;47,771646;45,040816;45,040816
model_2090;38,891800;6,744898;6,744898
model_2091;17,303214;6,642857;6,642857
model_2092;17,303214;6,642857;6,642857
model_2093;21,980130;8,122449;8,122449
model_2094;49,164723;60,214286;60,214286
model_2095;42,225374;51,877551;51,877551
model_2096;55,433878;62,428571;62,428571
model_2097;55,562149;63,193878;63,193878
model_2098;56,777644;64,489796;64,489796
model_2099;22,705804;5,765306;5,765306
model_21;18,726484;8,091837;8,091837
model_210;47,771646;45,040816;45,040816
model_2100;23,380387;6,173469;6,173469
model_2101;36,031169;15,653061;15,653061
model_2102;24,278240;10,214286;10,214286
model_2103;21,479975;8,051020;8,051020
model_2104;27,054037;12,612245;12,612245
model_2105;24,391317;6,285714;6,285714
model_2106;24,391317;6,285714;6,285714
model_2107;11,578762;1,591837;1,591837
model_2108;56,905263;39,081633;39,081633
model_2109;16,484147;4,642857;4,642857
model_211;47,771646;45,040816;45,040816
model_2110;20,224229;6,459184;6,459184
model_2111;9,096577;2,704082;2,704082
model_2112;15,795682;2,938776;2,938776
model_2113;17,333819;5,051020;5,051020
model_2114;32,339314;10,224490;10,224490
model_2115;27,484032;22,193878;22,193878
model_2116;54,890817;34,275510;34,275510
model_2117;80,421871;158,336735;100,000000
model_2118;16,301806;4,591837;4,591837
model_2119;12,775197;1,183673;1,183673
model_212;47,771646;45,040816;45,040816
model_2120;7,730713;1,826531;1,826531
model_2121;8,463207;1,357143;1,357143
model_2122;12,164218;1,357143;1,357143
model_2123;24,211082;8,346939;8,346939
model_2124;37,922637;21,744898;21,744898
model_2125;25,785115;5,581633;5,581633
model_2126;16,739503;2,071429;2,071429
model_2127;16,739503;2,071429;2,071429
model_2128;16,739503;2,071429;2,071429
model_2129;37,285080;39,642857;39,642857
model_213;47,771646;45,040816;45,040816
model_2130;36,663563;10,765306;10,765306
model_2131;15,823922;3,581633;3,581633
model_2132;42,616360;24,306122;24,306122
model_2133;42,616360;24,306122;24,306122
model_2134;36,996301;25,724490;25,724490
model_2135;36,996301;25,724490;25,724490
model_2136;59,033626;55,704082;55,704082
model_2137;22,956274;4,693878;4,693878
model_2138;18,832842;6,224490;6,224490
model_2139;40,239578;19,051020;19,051020
model_214;47,771646;45,040816;45,040816
model_2140;23,384701;7,693878;7,693878
model_2141;36,686915;16,346939;16,346939
model_2142;36,549296;16,581633;16,581633
model_2143;33,634250;18,397959;18,397959
model_2144;12,574990;2,408163;2,408163
model_2145;33,288055;31,397959;31,397959
model_2146;33,680302;9,979592;9,979592
model_2147;35,094712;10,214286;10,214286
model_2148;48,301014;37,316327;37,316327
model_2149;48,301014;37,316327;37,316327
model_215;47,771646;45,040816;45,040816
model_2150;30,985051;10,591837;10,591837
model_2151;47,662930;35,551020;35,551020
model_2152;16,737621;4,642857;4,642857
model_2153;14,663368;3,173469;3,173469
model_2154;14,663368;3,173469;3,173469
model_2155;14,560463;3,989796;3,989796
model_2156;33,523276;9,857143;9,857143
model_2157;40,660170;31,479592;31,479592
model_2158;16,421582;4,173469;4,173469
model_2159;27,440779;14,357143;14,357143
model_216;47,771646;45,040816;45,040816
model_2160;35,729794;9,846939;9,846939
model_2161;26,527980;6,765306;6,765306
model_2162;26,527980;6,765306;6,765306
model_2163;36,010685;20,285714;20,285714
model_2164;36,349352;25,857143;25,857143
model_2165;39,623860;10,693878;10,693878
model_2166;61,750643;43,969388;43,969388
model_2167;15,843164;3,989796;3,989796
model_2168;16,205845;3,295918;3,295918
model_2169;20,640703;8,418367;8,418367
model_217;47,771646;45,040816;45,040816
model_2170;30,328238;12,826531;12,826531
model_2171;35,100322;19,693878;19,693878
model_2172;35,100322;19,693878;19,693878
model_2173;36,120171;22,448980;22,448980
model_2174;23,304083;15,938776;15,938776
model_2175;27,704008;4,642857;4,642857
model_2176;11,110609;1,408163;1,408163
model_2177;11,110609;1,408163;1,408163
model_2178;11,110609;1,408163;1,408163
model_2179;11,110609;1,408163;1,408163
model_218;47,771646;45,040816;45,040816
model_2180;11,110609;1,408163;1,408163
model_2181;11,110609;1,408163;1,408163
model_2182;11,110609;1,408163;1,408163
model_2183;11,110609;1,408163;1,408163
model_2184;11,110609;1,408163;1,408163
model_2185;11,110609;1,408163;1,408163
model_2186;11,110609;1,408163;1,408163
model_2187;15,337634;1,642857;1,642857
model_2188;18,414458;3,765306;3,765306
model_2189;18,414458;3,765306;3,765306
model_219;47,426095;43,908163;43,908163
model_2190;19,127968;1,938776;1,938776
model_2191;34,814414;8,632653;8,632653
model_2192;39,157353;24,244898;24,244898
model_2193;47,461809;56,867347;56,867347
model_2194;20,255336;3,295918;3,295918
model_2195;72,085956;105,959184;100,000000
model_2196;32,689660;11,571429;11,571429
model_2197;27,747397;10,408163;10,408163
model_2198;11,110609;1,408163;1,408163
model_2199;21,056028;6,295918;6,295918
model_22;45,907250;20,602041;20,602041
model_220;47,605992;44,326531;44,326531
model_2200;21,056028;6,295918;6,295918
model_2201;12,461797;2,234694;2,234694
model_2202;14,364134;1,765306;1,765306
model_2203;24,422590;3,122449;3,122449
model_2204;24,422590;3,122449;3,122449
model_2205;10,867918;1,816327;1,816327
model_2206;7,290057;0,591837;0,591837
model_2207;22,056602;10,234694;10,234694
model_2208;35,893861;10,265306;10,265306
model_2209;36,087950;10,265306;10,265306
model_221;47,714861;43,153061;43,153061
model_2210;34,189194;11,102041;11,102041
model_2211;33,736430;8,989796;8,989796
model_2212;27,439145;9,744898;9,744898
model_2213;37,387282;15,255102;15,255102
model_2214;39,916668;15,714286;15,714286
model_2215;44,378003;15,775510;15,775510
model_2216;39,927632;14,020408;14,020408
model_2217;41,072640;11,908163;11,908163
model_2218;33,651991;8,806122;8,806122
model_2219;33,651991;8,806122;8,806122
model_222;47,714861;43,153061;43,153061
model_2220;37,820002;9,571429;9,571429
model_2221;29,354451;11,663265;11,663265
model_2222;40,680600;16,000000;16,000000
model_2223;38,233026;9,224490;9,224490
model_2224;31,742503;11,255102;11,255102
model_2225;35,275548;8,285714;8,285714
model_2226;30,208648;8,806122;8,806122
model_2227;37,813873;9,397959;9,397959
model_2228;39,720922;15,326531;15,326531
model_2229;38,357298;9,989796;9,989796
model_223;47,714861;43,153061;43,153061
model_2230;28,534290;7,459184;7,459184
model_2231;35,579344;10,734694;10,734694
model_2232;36,668671;15,775510;15,775510
model_2233;33,571391;10,102041;10,102041
model_2234;37,252774;16,540816;16,540816
model_2235;30,350402;9,622449;9,622449
model_2236;33,797390;8,693878;8,693878
model_2237;28,418665;10,387755;10,387755
model_2238;35,248662;10,806122;10,806122
model_2239;46,313338;25,459184;25,459184
model_224;47,714861;43,153061;43,153061
model_2240;26,477582;11,091837;11,091837
model_2241;53,580435;21,551020;21,551020
model_2242;57,701059;29,969388;29,969388
model_2243;56,161066;26,234694;26,234694
model_2244;37,732015;17,377551;17,377551
model_2245;22,337612;6,571429;6,571429
model_2246;52,917610;21,938776;21,938776
model_2247;57,709747;24,530612;24,530612
model_2248;33,861197;8,214286;8,214286
model_2249;24,967877;6,397959;6,397959
model_225;47,714861;43,153061;43,153061
model_2250;36,420524;13,204082;13,204082
model_2251;36,420524;13,204082;13,204082
model_2252;39,453503;16,846939;16,846939
model_2253;38,869839;18,500000;18,500000
model_2254;27,930577;13,836735;13,836735
model_2255;27,058462;13,193878;13,193878
model_2256;27,058462;13,193878;13,193878
model_2257;18,933979;5,357143;5,357143
model_2258;24,207279;5,877551;5,877551
model_2259;24,207279;5,877551;5,877551
model_226;47,714861;43,153061;43,153061
model_2260;35,664552;12,071429;12,071429
model_2261;26,589589;13,316327;13,316327
model_2262;25,356959;11,908163;11,908163
model_2263;25,356959;11,908163;11,908163
model_2264;19,528615;4,112245;4,112245
model_2265;14,798272;3,877551;3,877551
model_2266;15,085395;3,877551;3,877551
model_2267;26,521282;8,214286;8,214286
model_2268;31,279999;16,775510;16,775510
model_2269;7,730713;1,826531;1,826531
model_227;47,714861;43,153061;43,153061
model_2270;15,383728;3,408163;3,408163
model_2271;15,383728;3,408163;3,408163
model_2272;14,682094;4,285714;4,285714
model_2273;21,762110;6,479592;6,479592
model_2274;16,595511;4,408163;4,408163
model_2275;13,180633;4,693878;4,693878
model_2276;17,025684;4,816327;4,816327
model_2277;13,180633;4,693878;4,693878
model_2278;17,689098;3,061224;3,061224
model_2279;11,578762;1,591837;1,591837
model_228;47,714861;43,153061;43,153061
model_2280;24,967541;9,102041;9,102041
model_2281;29,878277;8,867347;8,867347
model_2282;26,704189;7,642857;7,642857
model_2283;26,704189;7,642857;7,642857
model_2284;44,343576;22,000000;22,000000
model_2285;44,123784;21,285714;21,285714
model_2286;28,592848;10,397959;10,397959
model_2287;28,592848;10,397959;10,397959
model_2288;27,777996;9,530612;9,530612
model_2289;27,777996;9,530612;9,530612
model_229;47,714861;43,153061;43,153061
model_2290;57,531194;109,775510;100,000000
model_2291;29,223160;20,163265;20,163265
model_2292;50,021882;21,765306;21,765306
model_2293;34,517736;35,234694;35,234694
model_2294;20,242192;11,581633;11,581633
model_2295;18,746277;5,663265;5,663265
model_2296;18,746277;5,663265;5,663265
model_2297;19,252609;5,173469;5,173469
model_2298;16,737861;3,887755;3,887755
model_2299;16,737861;3,887755;3,887755
model_23;26,047066;7,867347;7,867347
model_230;47,714861;43,153061;43,153061
model_2300;16,262704;3,714286;3,714286
model_2301;20,696208;3,244898;3,244898
model_2302;31,276517;9,581633;9,581633
model_2303;16,867993;4,244898;4,244898
model_2304;21,179266;4,010204;4,010204
model_2305;21,179266;4,010204;4,010204
model_2306;18,051611;4,010204;4,010204
model_2307;22,462704;4,775510;4,775510
model_2308;23,375495;4,367347;4,367347
model_2309;16,745761;4,479592;4,479592
model_231;47,714861;43,153061;43,153061
model_2310;18,352624;5,602041;5,602041
model_2311;12,416667;2,714286;2,714286
model_2312;16,434784;2,479592;2,479592
model_2313;16,434784;2,479592;2,479592
model_2314;16,434784;2,479592;2,479592
model_2315;16,434784;2,479592;2,479592
model_2316;16,434784;2,479592;2,479592
model_2317;16,434784;2,479592;2,479592
model_2318;16,434784;2,479592;2,479592
model_2319;16,434784;2,479592;2,479592
model_232;47,714861;43,153061;43,153061
model_2320;16,434784;2,479592;2,479592
model_2321;16,434784;2,479592;2,479592
model_2322;16,434784;2,479592;2,479592
model_2323;16,434784;2,479592;2,479592
model_2324;16,434784;2,479592;2,479592
model_2325;16,434784;2,479592;2,479592
model_2326;16,434784;2,479592;2,479592
model_2327;10,222303;3,173469;3,173469
model_2328;10,415110;2,938776;2,938776
model_2329;12,688019;1,540816;1,540816
model_233;47,714861;43,153061;43,153061
model_2330;57,531893;89,632653;89,632653
model_2331;52,888900;69,020408;69,020408
model_2332;51,549563;50,632653;50,632653
model_2333;8,146100;1,591837;1,591837
model_2334;8,146100;1,591837;1,591837
model_2335;6,289214;1,061224;1,061224
model_2336;11,163375;1,826531;1,826531
model_2337;12,164218;1,357143;1,357143
model_2338;11,020091;3,183673;3,183673
model_2339;16,455966;4,234694;4,234694
model_234;48,125045;44,510204;44,510204
model_2340;36,957144;12,765306;12,765306
model_2341;36,981951;13,173469;13,173469
model_2342;36,981951;13,173469;13,173469
model_2343;16,873486;4,224490;4,224490
model_2344;23,929862;7,346939;7,346939
model_2345;23,929862;7,346939;7,346939
model_2346;25,416240;10,785714;10,785714
model_2347;29,171101;10,551020;10,551020
model_2348;29,171101;10,551020;10,551020
model_2349;30,290799;12,489796;12,489796
model_235;48,125045;44,510204;44,510204
model_2350;23,784333;10,551020;10,551020
model_2351;23,784333;10,551020;10,551020
model_2352;29,171101;10,551020;10,551020
model_2353;26,043446;10,551020;10,551020
model_2354;25,484684;10,551020;10,551020
model_2355;28,713406;11,367347;11,367347
model_2356;18,992448;9,724490;9,724490
model_2357;19,204356;9,724490;9,724490
model_2358;20,211492;10,489796;10,489796
model_2359;25,963719;11,193878;11,193878
model_236;47,808304;43,153061;43,153061
model_2360;25,963719;11,193878;11,193878
model_2361;25,963719;11,193878;11,193878
model_2362;40,507951;31,510204;31,510204
model_2363;42,028395;34,265306;34,265306
model_2364;42,028395;34,265306;34,265306
model_2365;36,043567;6,785714;6,785714
model_2366;43,339398;16,255102;16,255102
model_2367;29,164052;10,561224;10,561224
model_2368;29,164052;10,561224;10,561224
model_2369;29,164052;10,561224;10,561224
model_237;47,808304;43,153061;43,153061
model_2370;28,054935;26,285714;26,285714
model_2371;28,776179;8,326531;8,326531
model_2372;28,776179;8,326531;8,326531
model_2373;51,272751;45,500000;45,500000
model_2374;51,272751;45,500000;45,500000
model_2375;41,630060;26,663265;26,663265
model_2376;42,028101;26,897959;26,897959
model_2377;32,560264;20,928571;20,928571
model_2378;32,560264;20,928571;20,928571
model_2379;32,965630;20,928571;20,928571
model_238;47,808304;43,153061;43,153061
model_2380;34,847573;21,336735;21,336735
model_2381;52,184201;37,295918;37,295918
model_2382;39,939525;25,397959;25,397959
model_2383;39,939525;25,397959;25,397959
model_2384;21,101015;5,867347;5,867347
model_2385;18,143109;4,346939;4,346939
model_2386;24,439215;5,408163;5,408163
model_2387;47,770267;63,204082;63,204082
model_2388;26,888008;8,091837;8,091837
model_2389;32,940523;6,285714;6,285714
model_239;47,808304;43,153061;43,153061
model_2390;29,693345;8,397959;8,397959
model_2391;18,602873;5,989796;5,989796
model_2392;32,335579;11,418367;11,418367
model_2393;24,156018;5,989796;5,989796
model_2394;25,162255;5,755102;5,755102
model_2395;64,920420;73,857143;73,857143
model_2396;25,746727;8,632653;8,632653
model_2397;23,597137;6,765306;6,765306
model_2398;18,602873;5,989796;5,989796
model_2399;19,285925;5,397959;5,397959
model_24;18,726484;8,091837;8,091837
model_240;47,808304;43,153061;43,153061
model_2400;24,514764;6,295918;6,295918
model_2401;47,335656;122,408163;100,000000
model_2402;27,158781;7,275510;7,275510
model_2403;66,244951;69,224490;69,224490
model_2404;66,356706;69,459184;69,459184
model_2405;28,027404;6,989796;6,989796
model_2406;26,251338;9,989796;9,989796
model_2407;31,392560;7,061224;7,061224
model_2408;31,392560;7,061224;7,061224
model_2409;66,487916;70,224490;70,224490
model_241;47,808304;43,153061;43,153061
model_2410;14,931649;4,224490;4,224490
model_2411;67,318396;72,918367;72,918367
model_2412;67,604472;74,500000;74,500000
model_2413;29,219842;9,469388;9,469388
model_2414;41,283751;38,908163;38,908163
model_2415;41,283751;38,908163;38,908163
model_2416;27,260219;8,051020;8,051020
model_2417;27,260219;8,051020;8,051020
model_2418;27,260219;8,051020;8,051020
model_2419;27,260219;8,051020;8,051020
model_242;47,808304;43,153061;43,153061
model_2420;27,260219;8,051020;8,051020
model_2421;51,677274;39,142857;39,142857
model_2422;20,636558;9,887755;9,887755
model_2423;27,947579;8,040816;8,040816
model_2424;28,885930;8,285714;8,285714
model_2425;27,143060;6,867347;6,867347
model_2426;28,622674;8,520408;8,520408
model_2427;45,875160;21,897959;21,897959
model_2428;25,572039;6,683673;6,683673
model_2429;21,611505;8,040816;8,040816
model_243;47,808304;43,153061;43,153061
model_2430;23,595514;4,061224;4,061224
model_2431;23,595514;4,061224;4,061224
model_2432;15,862157;5,040816;5,040816
model_2433;23,766634;6,357143;6,357143
model_2434;23,766634;6,357143;6,357143
model_2435;23,766634;6,357143;6,357143
model_2436;32,158166;13,540816;13,540816
model_2437;23,495173;6,295918;6,295918
model_2438;23,495173;6,295918;6,295918
model_2439;23,227439;4,295918;4,295918
model_244;54,991472;48,153061;48,153061
model_2440;15,448664;4,520408;4,520408
model_2441;23,440264;5,642857;5,642857
model_2442;19,654019;6,346939;6,346939
model_2443;23,399405;5,571429;5,571429
model_2444;19,506358;4,877551;4,877551
model_2445;15,452728;4,632653;4,632653
model_2446;19,520986;9,744898;9,744898
model_2447;15,693904;4,693878;4,693878
model_2448;15,452728;4,632653;4,632653
model_2449;16,977481;5,397959;5,397959
model_245;47,716352;43,153061;43,153061
model_2450;33,857568;8,704082;8,704082
model_2451;18,809572;7,816327;7,816327
model_2452;57,387544;60,204082;60,204082
model_2453;38,678407;55,918367;55,918367
model_2454;27,793198;6,806122;6,806122
model_2455;51,081824;83,969388;83,969388
model_2456;64,620938;109,795918;100,000000
model_2457;50,680840;99,265306;99,265306
model_2458;50,680840;99,265306;99,265306
model_2459;20,832401;12,520408;12,520408
model_246;49,475357;48,765306;48,765306
model_2460;11,898064;1,183673;1,183673
model_2461;30,275829;11,071429;11,071429
model_2462;28,761716;6,051020;6,051020
model_2463;38,282562;27,377551;27,377551
model_2464;38,464970;27,836735;27,836735
model_2465;44,259950;32,887755;32,887755
model_2466;44,259950;32,887755;32,887755
model_2467;44,259950;32,887755;32,887755
model_2468;44,259950;32,887755;32,887755
model_2469;44,259950;32,887755;32,887755
model_247;48,030937;43,969388;43,969388
model_2470;44,259950;32,887755;32,887755
model_2471;14,590020;2,530612;2,530612
model_2472;35,644710;12,653061;12,653061
model_2473;21,056110;3,418367;3,418367
model_2474;36,395016;14,234694;14,234694
model_2475;26,777916;7,775510;7,775510
model_2476;34,203735;14,295918;14,295918
model_2477;36,600424;15,142857;15,142857
model_2478;29,162555;9,163265;9,163265
model_2479;14,588385;2,765306;2,765306
model_248;47,957393;43,153061;43,153061
model_2480;14,590020;2,530612;2,530612
model_2481;15,367187;1,530612;1,530612
model_2482;16,703059;3,836735;3,836735
model_2483;19,264176;2,295918;2,295918
model_2484;19,486745;1,071429;1,071429
model_2485;15,569882;2,377551;2,377551
model_2486;19,610110;3,122449;3,122449
model_2487;20,517911;3,122449;3,122449
model_2488;20,110753;3,479592;3,479592
model_2489;20,517911;3,122449;3,122449
model_249;47,762214;43,153061;43,153061
model_2490;21,810026;3,530612;3,530612
model_2491;21,810026;3,530612;3,530612
model_2492;22,310668;3,887755;3,887755
model_2493;26,473617;10,163265;10,163265
model_2494;25,590807;8,112245;8,112245
model_2495;13,434334;2,000000;2,000000
model_2496;16,326848;3,357143;3,357143
model_2497;21,841832;4,357143;4,357143
model_2498;20,162294;3,765306;3,765306
model_2499;20,801914;3,765306;3,765306
model_25;29,335315;13,112245;13,112245
model_250;47,714861;43,153061;43,153061
model_2500;20,037940;1,071429;1,071429
model_2501;23,600482;2,244898;2,244898
model_2502;17,208480;5,010204;5,010204
model_2503;33,759316;19,020408;19,020408
model_2504;25,550949;4,081633;4,081633
model_2505;22,913546;3,826531;3,826531
model_2506;25,183467;10,908163;10,908163
model_2507;23,420932;8,122449;8,122449
model_2508;30,608965;9,826531;9,826531
model_2509;15,746748;6,948980;6,948980
model_251;49,641720;49,775510;49,775510
model_2510;25,844744;7,632653;7,632653
model_2511;21,205037;7,071429;7,071429
model_2512;14,942384;3,663265;3,663265
model_2513;17,658846;2,551020;2,551020
model_2514;25,187137;13,397959;13,397959
model_2515;38,986591;18,285714;18,285714
model_2516;20,354925;3,469388;3,469388
model_2517;8,463207;1,357143;1,357143
model_2518;51,746755;31,102041;31,102041
model_2519;11,204712;2,765306;2,765306
model_252;47,714861;43,153061;43,153061
model_2520;11,204712;2,765306;2,765306
model_2521;36,643496;13,581633;13,581633
model_2522;37,869793;14,755102;14,755102
model_2523;24,196708;2,653061;2,653061
model_2524;12,922422;3,591837;3,591837
model_2525;27,603670;5,459184;5,459184
model_2526;36,651301;19,295918;19,295918
model_2527;35,353207;19,295918;19,295918
model_2528;22,277672;3,010204;3,010204
model_2529;24,437569;3,010204;3,010204
model_253;47,714861;43,153061;43,153061
model_2530;33,002302;14,357143;14,357143
model_2531;18,777034;6,887755;6,887755
model_2532;18,777034;6,887755;6,887755
model_2533;29,307808;21,479592;21,479592
model_2534;15,599636;5,714286;5,714286
model_2535;29,727611;16,653061;16,653061
model_2536;16,613096;7,285714;7,285714
model_2537;15,986113;6,877551;6,877551
model_2538;28,173974;26,663265;26,663265
model_2539;21,483769;10,295918;10,295918
model_254;47,714861;43,153061;43,153061
model_2540;28,140350;13,979592;13,979592
model_2541;33,852659;9,030612;9,030612
model_2542;44,091945;197,438776;100,000000
model_2543;33,071234;21,469388;21,469388
model_2544;19,272173;8,724490;8,724490
model_2545;19,272173;8,724490;8,724490
model_2546;14,002489;3,530612;3,530612
model_2547;24,964456;3,469388;3,469388
model_2548;17,509983;3,938776;3,938776
model_2549;22,405403;4,704082;4,704082
model_255;47,714861;43,153061;43,153061
model_2550;24,859142;26,091837;26,091837
model_2551;25,550949;4,081633;4,081633
model_2552;42,689879;20,979592;20,979592
model_2553;15,222829;2,530612;2,530612
model_2554;15,168041;4,051020;4,051020
model_2555;10,525153;1,642857;1,642857
model_2556;10,525153;1,642857;1,642857
model_2557;10,525153;1,642857;1,642857
model_2558;10,525153;1,642857;1,642857
model_2559;10,525153;1,642857;1,642857
model_256;47,714861;43,153061;43,153061
model_2560;10,525153;1,642857;1,642857
model_2561;10,525153;1,642857;1,642857
model_2562;10,525153;1,642857;1,642857
model_2563;12,619039;3,224490;3,224490
model_2564;11,110609;1,408163;1,408163
model_2565;12,136296;2,989796;2,989796
model_2566;13,073714;2,938776;2,938776
model_2567;16,861777;4,346939;4,346939
model_2568;22,305979;4,244898;4,244898
model_2569;14,893535;0,000000;0,000000
model_257;45,721756;36,846939;36,846939
model_2570;10,715646;1,826531;1,826531
model_2571;19,162381;3,122449;3,122449
model_2572;44,686161;72,214286;72,214286
model_2573;52,890076;118,061224;100,000000
model_2574;60,065457;133,071429;100,000000
model_2575;60,256218;137,061224;100,000000
model_2576;24,854250;29,530612;29,530612
model_2577;57,969393;330,010204;100,000000
model_2578;81,835996;315,806122;100,000000
model_2579;30,940246;16,724490;16,724490
model_258;45,721756;36,846939;36,846939
model_2580;30,788115;16,959184;16,959184
model_2581;40,227213;32,489796;32,489796
model_2582;61,531837;57,571429;57,571429
model_2583;56,797650;474,551020;100,000000
model_2584;29,429812;10,214286;10,214286
model_2585;29,429812;10,214286;10,214286
model_2586;32,176097;9,163265;9,163265
model_2587;24,288366;5,255102;5,255102
model_2588;25,280248;6,377551;6,377551
model_2589;25,223078;5,867347;5,867347
model_259;45,534118;36,612245;36,612245
model_2590;10,366542;2,428571;2,428571
model_2591;16,675145;1,428571;1,428571
model_2592;21,019625;1,071429;1,071429
model_2593;18,884031;1,836735;1,836735
model_2594;34,263849;21,061224;21,061224
model_2595;15,332224;1,122449;1,122449
model_2596;21,100075;2,959184;2,959184
model_2597;18,400108;0,714286;0,714286
model_2598;20,435927;1,836735;1,836735
model_2599;16,699725;3,193878;3,193878
model_26;26,535210;7,867347;7,867347
model_260;45,534118;36,612245;36,612245
model_2600;17,331835;2,591837;2,591837
model_2601;33,779592;11,785714;11,785714
model_2602;14,312366;2,530612;2,530612
model_2603;15,303228;2,234694;2,234694
model_2604;20,877474;5,867347;5,867347
model_2605;22,703561;7,918367;7,918367
model_2606;32,597164;13,989796;13,989796
model_2607;31,319016;13,040816;13,040816
model_2608;33,388992;15,163265;15,163265
model_2609;33,388992;15,163265;15,163265
model_261;45,534118;36,612245;36,612245
model_2610;33,388992;15,163265;15,163265
model_2611;33,388992;15,163265;15,163265
model_2612;33,388992;15,163265;15,163265
model_2613;36,375555;16,816327;16,816327
model_2614;19,240307;6,469388;6,469388
model_2615;16,103297;6,112245;6,112245
model_2616;16,103297;6,112245;6,112245
model_2617;33,231241;21,479592;21,479592
model_2618;43,269264;14,173469;14,173469
model_2619;33,231241;21,479592;21,479592
model_262;47,808304;43,153061;43,153061
model_2620;76,894438;277,489796;100,000000
model_2621;79,469102;290,908163;100,000000
model_2622;18,519624;6,938776;6,938776
model_2623;18,519624;6,938776;6,938776
model_2624;76,637223;276,316327;100,000000
model_2625;76,676337;276,551020;100,000000
model_2626;76,677790;277,367347;100,000000
model_2627;76,676337;276,551020;100,000000
model_2628;40,750157;15,816327;15,816327
model_2629;52,754196;43,051020;43,051020
model_263;47,317579;41,571429;41,571429
model_2630;21,471922;5,438776;5,438776
model_2631;76,953763;280,204082;100,000000
model_2632;44,089033;22,428571;22,428571
model_2633;78,592392;491,010204;100,000000
model_2634;55,507354;54,051020;54,051020
model_2635;42,365718;31,581633;31,581633
model_2636;42,365718;31,581633;31,581633
model_2637;29,266985;15,826531;15,826531
model_2638;34,325196;25,520408;25,520408
model_2639;32,176097;9,163265;9,163265
model_264;45,461018;36,612245;36,612245
model_2640;33,978804;16,326531;16,326531
model_2641;33,978804;16,326531;16,326531
model_2642;33,978804;16,326531;16,326531
model_2643;33,978804;16,326531;16,326531
model_2644;33,978804;16,326531;16,326531
model_2645;33,978804;16,326531;16,326531
model_2646;33,978804;16,326531;16,326531
model_2647;33,978804;16,326531;16,326531
model_2648;33,978804;16,326531;16,326531
model_2649;33,978804;16,326531;16,326531
model_265;47,500842;41,755102;41,755102
model_2650;33,978804;16,326531;16,326531
model_2651;33,978804;16,326531;16,326531
model_2652;36,884569;24,622449;24,622449
model_2653;36,884569;24,622449;24,622449
model_2654;36,884569;24,622449;24,622449
model_2655;36,884569;24,622449;24,622449
model_2656;36,884569;24,622449;24,622449
model_2657;25,003038;11,204082;11,204082
model_2658;25,003038;11,204082;11,204082
model_2659;25,003038;11,204082;11,204082
model_266;45,461018;36,612245;36,612245
model_2660;25,003038;11,204082;11,204082
model_2661;25,003038;11,204082;11,204082
model_2662;25,003038;11,204082;11,204082
model_2663;25,003038;11,204082;11,204082
model_2664;25,003038;11,204082;11,204082
model_2665;25,003038;11,204082;11,204082
model_2666;25,003038;11,204082;11,204082
model_2667;24,462899;6,816327;6,816327
model_2668;25,116102;6,867347;6,867347
model_2669;26,612786;6,183673;6,183673
model_267;47,714861;43,153061;43,153061
model_2670;28,694658;9,112245;9,112245
model_2671;28,694658;9,112245;9,112245
model_2672;28,893967;8,755102;8,755102
model_2673;29,546322;10,540816;10,540816
model_2674;29,806524;9,979592;9,979592
model_2675;29,806524;9,979592;9,979592
model_2676;32,524600;13,653061;13,653061
model_2677;31,413500;11,867347;11,867347
model_2678;30,721311;14,061224;14,061224
model_2679;25,249508;6,520408;6,520408
model_268;47,714861;43,153061;43,153061
model_2680;25,249508;6,520408;6,520408
model_2681;31,529029;11,510204;11,510204
model_2682;31,529029;11,510204;11,510204
model_2683;22,023106;1,887755;1,887755
model_2684;24,752606;3,061224;3,061224
model_2685;16,386619;3,765306;3,765306
model_2686;25,538876;6,408163;6,408163
model_2687;25,538876;6,408163;6,408163
model_2688;25,538876;6,408163;6,408163
model_2689;10,329212;3,173469;3,173469
model_269;45,721756;36,846939;36,846939
model_2690;23,103151;7,581633;7,581633
model_2691;12,119224;3,642857;3,642857
model_2692;34,751418;13,142857;13,142857
model_2693;31,823054;12,326531;12,326531
model_2694;11,757678;2,714286;2,714286
model_2695;11,757678;2,714286;2,714286
model_2696;11,757678;2,714286;2,714286
model_2697;11,757678;2,714286;2,714286
model_2698;17,971738;4,469388;4,469388
model_2699;15,835566;2,887755;2,887755
model_27;18,726484;8,091837;8,091837
model_270;43,373018;30,622449;30,622449
model_2700;19,264176;2,295918;2,295918
model_2701;24,196708;2,653061;2,653061
model_2702;34,425445;10,602041;10,602041
model_2703;15,830758;3,591837;3,591837
model_2704;17,343585;4,234694;4,234694
model_2705;17,778387;5,000000;5,000000
model_2706;18,592931;5,306122;5,306122
model_2707;18,592931;5,306122;5,306122
model_2708;21,113001;4,418367;4,418367
model_2709;11,782821;3,122449;3,122449
model_271;43,373018;30,622449;30,622449
model_2710;33,879349;12,377551;12,377551
model_2711;14,931649;4,224490;4,224490
model_2712;25,440104;3,826531;3,826531
model_2713;25,440104;3,826531;3,826531
model_2714;16,157143;1,887755;1,887755
model_2715;9,828397;2,591837;2,591837
model_2716;29,727611;16,653061;16,653061
